                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76662,                 1.9105,                 1.0272,                0.87954,                0.86223,                0.91866,                0.77872,                0.67906,                0.61481,                 1.0393,             0.00027725,             0.00027725,             0.00027725
                      2,                0.73681,                0.64302,                 1.0037,                0.94152,                0.89726,                0.95267,                0.83304,                0.59012,                0.48779,                0.97438,             0.00050914,             0.00050914,             0.00050914
                      3,                0.72884,                 0.6307,                0.98722,                0.92362,                0.88946,                  0.943,                 0.7979,                0.67182,                0.54108,                 1.0813,             0.00069521,             0.00069521,             0.00069521
                      4,                0.70894,                0.58016,                0.97124,                0.93032,                0.91056,                0.95195,                0.84143,                0.54945,                0.45029,                0.92484,             0.00062683,             0.00062683,             0.00062683
                      5,                0.67383,                0.53252,                0.95304,                0.94043,                0.90954,                0.95878,                0.84812,                 0.5398,                0.42092,                0.92207,             0.00062683,             0.00062683,             0.00062683
                      6,                0.64283,                0.48766,                0.93297,                0.94806,                0.92198,                0.96351,                0.86448,                0.50118,                0.39091,                 0.8971,             0.00055811,             0.00055811,             0.00055811
                      7,                0.61703,                0.45293,                 0.9192,                0.95698,                0.93269,                0.96967,                0.88006,                0.47635,                0.35348,                0.88033,             0.00048939,             0.00048939,             0.00048939
                      8,                0.59413,                0.42364,                0.90854,                0.96273,                0.94076,                0.97398,                0.89266,                0.45121,                0.32476,                0.86532,             0.00042066,             0.00042066,             0.00042066
                      9,                0.57427,                0.39808,                0.89845,                0.96453,                0.94567,                0.97776,                0.89969,                0.43842,                0.31612,                0.85947,             0.00035194,             0.00035194,             0.00035194
                     10,                0.55191,                0.37544,                0.88871,                0.96278,                0.95177,                0.97798,                0.90147,                0.42725,                0.29629,                0.85291,             0.00028322,             0.00028322,             0.00028322
                     11,                0.52991,                0.35005,                0.87755,                 0.9712,                0.95256,                0.98018,                0.90947,                0.41184,                0.27996,                0.84601,              0.0002145,              0.0002145,              0.0002145
                     12,                0.51449,                0.33112,                0.87025,                0.97005,                0.95785,                0.98285,                0.91312,                0.40251,                0.26805,                0.84168,             0.00014577,             0.00014577,             0.00014577
