                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79178,                 1.9357,                 1.0169,                0.79572,                0.86271,                0.92376,                0.75971,                0.69296,                 0.6879,                 1.0207,              0.0002772,              0.0002772,              0.0002772
                      2,                0.75142,                0.66093,                0.99007,                0.91901,                0.89661,                0.94693,                0.81224,                0.62896,                0.54571,                0.95602,             0.00050909,             0.00050909,             0.00050909
                      3,                0.74968,                0.63878,                0.98244,                0.84569,                0.82901,                0.91351,                0.72972,                0.76587,                0.69837,                 1.0851,             0.00069517,             0.00069517,             0.00069517
                      4,                 0.7327,                0.59864,                0.96935,                0.94139,                0.85437,                0.92711,                0.79431,                0.66182,                0.56973,                0.98057,             0.00062683,             0.00062683,             0.00062683
                      5,                0.69962,                0.54917,                0.95277,                0.94859,                0.91353,                0.95959,                0.85055,                0.59663,                0.46435,                0.92684,             0.00062683,             0.00062683,             0.00062683
                      6,                0.66483,                0.50511,                0.93547,                0.95373,                0.91892,                0.96387,                0.86342,                 0.5674,                0.43695,                0.90593,             0.00055811,             0.00055811,             0.00055811
                      7,                0.64246,                0.46772,                0.92365,                0.95612,                0.92361,                0.96811,                0.87433,                0.54886,                0.41074,                0.89502,             0.00048939,             0.00048939,             0.00048939
                      8,                0.61696,                0.44003,                0.91041,                0.95941,                0.94649,                0.97542,                0.89113,                0.51725,                0.36852,                0.88424,             0.00042066,             0.00042066,             0.00042066
                      9,                0.59583,                0.40957,                0.90167,                0.96065,                 0.9443,                0.97505,                0.89607,                0.50403,                0.35268,                0.87349,             0.00035194,             0.00035194,             0.00035194
                     10,                0.57411,                0.38433,                   0.89,                 0.9665,                0.95357,                0.97903,                0.90107,                0.48853,                0.33268,                0.86399,             0.00028322,             0.00028322,             0.00028322
                     11,                0.55511,                0.36097,                0.88301,                0.96984,                0.95121,                0.97947,                0.90876,                0.47178,                0.31761,                0.85434,              0.0002145,              0.0002145,              0.0002145
                     12,                0.53741,                0.34449,                0.87496,                0.97543,                0.95555,                0.98077,                0.91352,                0.46193,                 0.3033,                0.84925,             0.00014577,             0.00014577,             0.00014577
