                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81145,                 1.7334,                 1.0004,                0.87212,                0.83436,                0.90954,                0.75661,                0.69527,                0.63464,                0.94625,             0.00033301,             0.00033301,             0.00033301
                      2,                0.79908,                 0.7069,                  0.991,                0.89865,                0.84206,                 0.9231,                0.77629,                0.68142,                0.59198,                0.94315,             0.00061922,             0.00061922,             0.00061922
                      3,                0.78663,                0.65258,                0.98768,                0.90252,                0.88574,                 0.9384,                0.80416,                0.64628,                0.51335,                0.92604,             0.00085829,             0.00085829,             0.00085829
                      4,                0.75279,                0.59671,                0.97115,                0.93402,                0.88304,                0.94672,                0.81842,                 0.6314,                0.48454,                0.91838,             0.00078786,             0.00078786,             0.00078786
                      5,                0.73052,                 0.5693,                0.95992,                0.93048,                0.90189,                0.95512,                0.82104,                 0.6346,                0.46557,                0.91614,             0.00078786,             0.00078786,             0.00078786
                      6,                 0.7078,                0.52798,                 0.9497,                0.94309,                0.90305,                0.95908,                0.82989,                0.61527,                0.44618,                0.91653,             0.00071714,             0.00071714,             0.00071714
                      7,                0.67863,                0.49202,                0.93393,                0.94045,                0.92116,                0.96693,                0.84633,                0.58586,                0.41903,                0.89636,             0.00064643,             0.00064643,             0.00064643
                      8,                0.65501,                0.46301,                 0.9232,                0.95548,                0.91647,                0.96697,                0.85281,                0.56558,                0.40013,                0.88583,             0.00057571,             0.00057571,             0.00057571
                      9,                0.63509,                0.43977,                0.91235,                 0.9509,                0.93041,                 0.9703,                0.86051,                0.55099,                0.38276,                0.88051,               0.000505,               0.000505,               0.000505
                     10,                0.61895,                0.42003,                 0.9083,                0.95021,                0.93178,                0.97259,                0.86894,                0.53698,                0.36467,                0.87484,             0.00043429,             0.00043429,             0.00043429
                     11,                0.60027,                0.39687,                0.90023,                0.95227,                 0.9374,                 0.9752,                0.87637,                0.52871,                0.35463,                0.86862,             0.00036357,             0.00036357,             0.00036357
                     12,                0.58707,                0.38007,                0.89105,                0.95809,                0.94667,                0.97678,                0.87876,                 0.5213,                0.33875,                0.86461,             0.00029286,             0.00029286,             0.00029286
                     13,                0.56826,                0.35937,                0.88485,                 0.9584,                0.94345,                0.97618,                0.88497,                0.50552,                0.32557,                0.85775,             0.00022214,             0.00022214,             0.00022214
                     14,                0.55149,                0.34245,                0.87821,                0.96656,                0.94766,                0.97776,                0.89087,                0.49013,                0.30958,                0.85351,             0.00015143,             0.00015143,             0.00015143
